src_ip,dest_ip,timestamp,src_port,dest_port,proto
200.51.43.5,192.168.1.243,2024-05-07T23:01:09.072188+0200,53,3488,UDP
200.51.43.5,192.168.1.243,2024-05-07T23:01:09.073105+0200,53,3476,UDP
200.51.43.5,192.168.1.243,2024-05-07T23:01:09.078072+0200,53,1028,UDP
200.51.43.5,192.168.1.243,2024-05-07T23:01:09.099410+0200,53,2529,UDP
200.51.43.5,192.168.1.238,2024-05-07T23:01:09.193205+0200,53,3657,UDP
200.51.43.5,192.168.1.238,2024-05-07T23:01:09.195831+0200,53,3662,UDP
200.51.43.5,192.168.1.245,2024-05-07T23:01:09.210699+0200,53,3662,UDP
200.51.43.5,192.168.1.245,2024-05-07T23:01:09.211984+0200,53,1133,UDP
200.51.43.5,192.168.1.245,2024-05-07T23:01:09.212029+0200,53,3663,UDP
200.51.43.5,192.168.1.245,2024-05-07T23:01:09.213285+0200,53,3669,UDP
200.51.43.5,192.168.1.245,2024-05-07T23:01:09.215814+0200,53,3665,UDP
200.51.43.5,192.168.1.245,2024-05-07T23:01:09.217143+0200,53,3664,UDP
200.51.43.5,192.168.1.238,2024-05-07T23:01:09.232021+0200,53,1025,UDP
200.51.43.5,192.168.1.238,2024-05-07T23:01:09.237347+0200,53,3658,UDP
200.51.43.5,192.168.1.245,2024-05-07T23:01:09.251952+0200,53,3668,UDP
200.51.43.5,192.168.1.9,2024-05-07T23:01:09.523288+0200,53,3664,UDP
200.51.43.5,192.168.1.9,2024-05-07T23:01:09.523312+0200,53,3665,UDP
200.51.43.5,192.168.1.91,2024-05-07T23:01:09.573278+0200,53,4506,UDP
200.51.43.5,192.168.1.91,2024-05-07T23:01:09.573307+0200,53,2666,UDP
200.51.43.5,192.168.1.91,2024-05-07T23:01:09.573332+0200,53,2675,UDP
200.51.43.5,192.168.1.242,2024-05-07T23:01:09.610181+0200,53,3666,UDP
200.51.43.5,192.168.1.242,2024-05-07T23:01:09.615258+0200,53,3664,UDP
200.51.43.5,192.168.1.239,2024-05-07T23:01:09.618946+0200,53,2564,UDP
